,Category,Message,category,my_texed
2618,ham,I cant pick the phone right now. Pls send a message,1,i cant pick phone right pl send messag
2619,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,1,hey pple 700 $ 900 5 night excel locat wif breakfast hamper !
2620,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,0,forward 21870000 hi is mailbox messag sm alert you 40 match pleas call back 09056242159 retriev messag match
2621,ham,How come?,1,how come
2622,ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,1,lol nah too bad thank it good b home it quit realiti check how ur day did u anyth websit
2623,ham,Ok lor...,1,ok lor
2624,ham,I'm coming home 4 dinner.,1,i come home 4 dinner
2625,ham,S da..al r above  &lt;#&gt;,1,s da al r lt # gt
2626,spam,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",0,free ring tone text poli 87131 then everi week get new tone 0870737910216yr .
2627,ham,Unni thank you dear for the recharge..Rakhesh,1,unni thank dear the recharg rakhesh
2628,ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,1,i know i lack most thi particular dramastorm detail for most part i worri that
2629,ham,Haha... They cant what... At the most tmr forfeit... haha so how?,1,haha they cant at most tmr forfeit haha how
2630,ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",1,hey glad u r better i hear u treat urself digi cam it good we r at 9pm have a fab new year c u coupla wk
2631,ham,No way I'm going back there!,1,no way i go back
2632,spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",0,urgent your mobil no 077xxx won bonu caller prize thi the 2nd attempt reach you call 09066362206 asap ! box97n7qp 150ppm
2633,ham,I WILL CAL YOU SIR. In meeting,1,i will cal you sir in meet
2634,ham,"That's what I love to hear :V see you sundayish, then",1,that i love hear v see sundayish
2635,ham,"Sorry da thangam, very very sorry i am held up with prasad.",1,sorri da thangam veri sorri am held with prasad
2636,ham,Tiwary to rcb.battle between bang and kochi.,1,tiwari between bang kochi
2637,ham,Thank god they are in bed!,1,thank god are bed
2638,ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,1,no i have cancer mom make big deal of regular checkup aka pap smear
2639,ham,Am in gobi arts college,1,am gobi art colleg
2640,ham,Why she wants to talk to me,1,whi want talk me
2641,ham,Pandy joined 4w technologies today.he got job..,1,pandi join 4w technolog got job
2642,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",0,you guarante latest nokia phone 40gb ipod mp3 player a prize txt word collect no 83355 ibhltd ldnw15h
2643,ham,"They can try! They can get lost, in fact. Tee hee",1,they tri they get lost fact tee hee
2644,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,1,hi you spoke maneesha we like know you satisfi the experi repli toll free ye no
2645,ham,My friends use to call the same.,1,my friend use call same
2646,ham,"Sorry, I'll call later",1,sorri i call later
2647,ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",1,em olowoyey usc.edu a great time argentina not sad secretari everyth a bless
2648,ham,"It,,s a taxt massage....tie-pos argh ok! Lool!",1,"it ,s taxt massag tie-po argh ok lool"
2649,ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",1,hi i pleas get lt # gt dollar loan i.ll pay you back mid februari pl
2650,ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",1,you might want pull more case just plan not spend if can i have much confid in derek taylor money manag
2651,ham,Do you like shaking your booty on the dance floor?,1,do like shake booti the danc floor
2652,ham,"Text me when you get off, don't call, my phones having problems",1,text when get do call phone problem
2653,ham,No need for the drug anymore.,1,no need the drug anymor
2654,ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,1,sorri da ) wa thought call lot time ) lil call at noon
2655,ham,Its sarcasm.. .nt scarcasim,1,it sarcasm .nt scarcasim
2656,ham,Great! I have to run now so ttyl!,1,great i to run so ttyl
2657,ham,Feel like trying kadeem again? :V,1,feel like tri kadeem : v
2658,ham,Dai  &lt;#&gt;  naal eruku.,1,dai lt # gt naal eruku
2659,ham,Not yet chikku..wat abt u?,1,not yet chikku wat abt u
2660,ham,Ok...,1,ok
2661,ham,Want to finally have lunch today?,1,want final lunch today
2662,ham,Do you know when dad will be back?,1,do know dad be back
2663,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",0,hello darl are today i would love have chat dont tell what look like what are to sexi
2664,spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,0,8007 free 1st week no1 nokia tone 4 ur mob everi week txt nokia 8007 get txting tell ur mate pobox 36504 w4 5wq norm 16+
2665,ham,He remains a bro amongst bros,1,he remain bro amongst bro
2666,ham,R u meeting da ge at nite tmr?,1,r u meet da ge nite tmr
2667,ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",1,wa nice day impress wa sensibl went home earli now feel fine or i bore ! when i ca rememb
2668,ham,Why de. You looking good only:-)..,1,whi de you look good - ..
2669,spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,0,wan na get laid 2nite want real dog locat sent direct ur mobil join uk largest dog network txt park 69696 nyt ec2a 3lp
2670,spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,0,tri contact re respons our offer a new nokia fone camcord hit repli call 08000930705 deliveri
2671,ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,1,ye they repli mail i go the manag offic later plu in bank later wednesday
2672,ham,"That's cool, I'll come by like  &lt;#&gt; ish",1,that cool i come like lt # gt ish
2673,ham,Super msg da:)nalla timing.,1,super msg da ) nalla time
2674,ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",1,good afternoon boytoy how feel today better i hope are be good boy are my obedi slave do you pleas queen
2675,ham,I am 6 ft. We will be a good combination!,1,i 6 we be good combin
2676,ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,1,i sick i needi i want ! pout stomp feet where you ! pout * stomp feet * i want slave ! ! i want now ! !
2677,ham,* Am on a train back from northampton so i'm afraid not!,1,am a train back northampton i afraid
2678,ham,Where in abj are you serving. Are you staying with dad or alone.,1,where abj serv are you stay dad alon
2679,ham,Was playng 9 doors game and gt racing on phone lol,1,wa playng 9 door game gt race phone lol
2680,spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",0,"new tone thi week includ 1 mcfly-al ab , 2 sara .. 3 will .. to order follow instruct next messag"
2681,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",1,solv case a man wa found murder on lt decim gt lt # gt afternoon 1 hi wife call polic 2 polic question everyon 3 wife sir i sleep the murder took place 4.cook i cook 5.garden i pick veget 6.house-maid i went 2 post offic 7.children we went 2 play 8.neighbour we went 2 marriag polic arrest murder immedi who it repli with reason if u r brilliant .
2682,ham,I'm on da bus going home...,1,i da bu go home
2683,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,1,i got call a landlin number i ask come anna nagar . . i go the afternoon
2684,ham,I'm okay. Chasing the dream. What's good. What are you doing next.,1,i okay chase dream what good what you next
2685,ham,Yupz... I've oredi booked slots 4 my weekends liao...,1,yupz i oredi book slot 4 weekend liao
2686,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,0,urgent we tri contact today draw show you won prize guarante call 09050003091 land line claim c52 valid 12hr
2687,ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,1,there r mani model soni ericson also der lt # & gt .. luk good bt forgot modl
2688,ham,Okie,1,oki
2689,ham,Yes I know the cheesy songs from frosty the snowman :),1,ye i know cheesi song frosti snowman )
2690,ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",1,ya ok vikki vl c witin lt # gt min il repli u
2691,spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p,0,sport fan get latest sport news str 2 ur mobil 1 wk free plu free tone txt sport on 8007 0870141701216+ norm
2692,ham,Hey tmr meet at bugis 930 ?,1,hey tmr meet bugi 930
2693,spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",0,urgent urgent we 800 free flight europ give away call b4 10th sept take friend 4 free call to claim 09050000555 ba128nnfwfly150ppm
2694,ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,1,all nice new shirt the thing i wear to nudist theme _ in mu
2695,ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,1,hey sexi bun what that day no word you morn ym : ( i think you
2696,ham,And whenever you and i see we can still hook up too.,1,and whenev and see can still hook too
2697,ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,1,nope i go home then go pump petrol lor like go 2 rain soon
2698,ham,Can you use foreign stamps for whatever you send them off for?,1,can use foreign stamp whatev send off
2699,spam,FROM 88066 LOST £12 HELP,0,from 88066 lost help
2700,ham,Oh baby of the house. How come you dont have any new pictures on facebook,1,oh babi the hous how come dont ani new pictur facebook
2701,ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",1,feb lt # gt i love u day send di all ur valu frnd evn if 3 come back u gt marri person u luv if u ignor di u lose ur luv 4 evr
2702,ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",1,hiya sorri hav signal i seen heard neither which unusu itself i put the case get to sort out hug and snog
2703,ham,"Omw back to tampa from west palm, you hear what happened?",1,omw back tampa west palm hear happen
2704,ham,Yup no more already... Thanx 4 printing n handing it up.,1,yup more alreadi thanx 4 print n hand up
2705,spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,0,freemsg fanci flirt repli date join uk fastest grow mobil date servic msg rcvd 25p optout txt stop 83021 repli date
2706,ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,1,what mean do come chase out it or it state can watch mani movi you want
2707,ham,S now only i took tablets . Reaction morning only.,1,s took tablet reaction morn onli
2708,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,0,great new offer doubl min doubl txt best orang tariff and get latest camera phone 4 free call mobileupd8 free 08000839402 now 2stoptxt t cs
2709,ham,"Nah, I'm a perpetual DD",1,nah i perpetu dd
2710,ham,Sorry de i went to shop.,1,sorri de went shop
2711,spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,0,hope enjoy new content text stop 61610 unsubscrib help:08712400602450p provid
2712,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",1,wen ur lovabl bcum angri wid u dnt take serious coz angri d childish n true way show deep affect care n luv .. kettoda manda have nice day da
2713,ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,1,hey still want go yogasana coz we end cine can go bath hav steam bath
2714,ham,Nope i'm not drivin... I neva develop da photos lei...,1,nope not drivin i neva develop da photo lei
2715,ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,1,i think go to reg pract lesson flung advanc haha wat time u go
2716,ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!,1,cool i lt # gt inch long hope like big
2717,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",1,murder coz the man murder lt # gt th januari as public holiday are close includ post offic understand
2718,ham,Okie.. Thanx..,1,oki thanx
2719,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,0,18 day euro2004 kickoff u be kept inform all latest news result daili unsubscrib send get euro stop 83222
2720,ham,Go where n buy? Juz buy when we get there lar.,1,go n buy juz buy we get lar
2721,ham,Ok lor...,1,ok lor
2722,ham,I'm working technical support :)voice process.,1,i work technic support ) voic process
2723,ham,It's justbeen overa week since we broke up and already our brains are going to mush!,1,it justbeen overa week sinc broke and alreadi brain go mush
2724,ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",1,tund are do thi just wish a great day abiola
2725,ham,Nope... C ü then...,1,nope c ü
2726,ham,No. But we'll do medical missions to nigeria,1,no but do medic mission nigeria
2727,ham,No i am not having not any movies in my laptop,1,no am have ani movi my laptop
2728,ham,Whatsup there. Dont u want to sleep,1,whatsup dont u want sleep
2729,spam,Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ “,0,urgent pleas call 09066612661 landlin £5000 cash a luxuri 4 canari island holiday await collect t cs sae award 20m12aq 150ppm 16+
2730,spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",0,urgent pleas call 09066612661 landlin your complimentari 4 lux costa del sol holiday cash await collect ppm 150 sae t cs jame 28 eh74rr
2731,ham,I havent lei.. Next mon can?,1,i havent lei next mon
2732,ham,Mm feeling sleepy. today itself i shall get that dear,1,mm feel sleepi today i shall get dear
2733,ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,1,how dare stupid i wont tell anyth you hear i wont talk you -
2734,ham,Do ü noe if ben is going?,1,do ü noe ben go
2735,ham,Can you do a mag meeting this avo at some point?,1,can do mag meet avo some point
2736,ham,I meant middle left or right?,1,i meant middl left right
2737,ham,Really? I crashed out cuddled on my sofa.,1,realli i crash cuddl my sofa
2738,ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,1,hi chachi tri call u unabl reach u pl give a miss cal u c tiz msg kanagu
2739,ham,"I sent you the prices and do you mean the  &lt;#&gt; g,",1,i sent price do mean the lt # gt g
2740,ham,Are you this much buzy,1,are thi much buzi
2741,ham,Nothing. Can...,1,noth can
2742,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,0,i know u u know send chat 86688 and let find other onli rcvd hg/suite342/2lands/row/w1j6hl ldn 18 year over
2743,ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,1,no work the ring u thing have whole hous scream brat am pull hair love u
2744,ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,1,but famili respond anyth now in room went home diwali no one call and not come it make feel like die
2745,ham,"Tick, tick, tick ... Babe",1,tick tick tick babe
2746,ham,R ü going 4 today's meeting?,1,r ü go 4 today meet
2747,ham,K da:)how many page you want?,1,k da ) mani page want
2748,ham,Ya had just now.onion roast.,1,ya just roast
2749,ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,1,send number give repli tomorrow morn whi said to like ok
2750,ham,You said not now. No problem. When you can. Let me know.,1,you said now no problem when can let know
2751,ham,Ok but tell me half an hr b4 u come i need 2 prepare.,1,ok tell half hr b4 u come need 2 prepar
2752,ham,Play w computer? Aiyah i tok 2 u lor?,1,play w comput aiyah tok 2 u lor
2753,ham,Sat right? Okay thanks...,1,sat right okay thank
2754,ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",1,derp which wors dude alway want parti dude file a complaint the three drug abus live
2755,ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,1,ok chines food it way when i get fat pay my lipo
2756,ham,We r outside already.,1,we r outsid alreadi
2757,ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,1,have good trip watch for rememb you get back must decid easter
2758,ham,Yo we are watching a movie on netflix,1,yo are watch movi netflix
2759,ham,What time. I‘m out until prob 3 or so,1,what time i out prob 3 so
2760,ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",1,can meh thgt will clash realli ah dun mind i dun seen have lost weight gee
2761,ham,I dont thnk its a wrong calling between us,1,i dont thnk a wrong call us
2762,ham,I am not sure about night menu. . . I know only about noon menu,1,i not sure night menu . i know about noon menu
2763,ham,ARR birthday today:) i wish him to get more oscar.,1,arr birthday today ) wish to get oscar
2764,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",1,say ? god i love you amp i need you clean my heart with your to ten special peopl amp u c miracl tomorrow it pl pl it
2765,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",1,open rebtel firefox when load put plu sign user name place it show two number the lower number my number onc pick number the pin display okay
2766,ham,and  picking them up from various points,1,pick up variou point
2767,spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,0,marri local women look discreet action 5 real match instantli your phone text match 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx
2768,ham,Wow v v impressed. Have funs shopping!,1,wow v v impress have fun shop
2769,ham,I am on the way to ur home,1,i on way ur home
2770,spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,0,burger king wan na play footi a top stadium get 2 burger king 1st sept go larg super and walk a winner
2771,ham,No problem. Talk to you later,1,no problem talk you later
2772,ham,Then ur sis how?,1,then ur si
2773,ham,Still in customer place,1,still custom place
2774,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,0,how come take littl time child is afraid the dark becom a teenag want stay all night
2775,ham,"Dude u knw also telugu..thts gud..k, gud nyt..",1,dude u knw also telugu tht gud k gud nyt
2776,ham,We confirm eating at esplanade?,1,we confirm eat esplanad
2777,ham,Send me your id and password,1,send your id password
2778,ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,1,kind took to garag centr part exhaust need replac part order n take to fix tomo morn
2779,spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",0,for ur chanc win cash everi wk txt action 80608 t & c www.movietrivia.tv custcar 08712405022 1x150p/wk
2780,ham,Well I might not come then...,1,well i might come
2781,ham,Long after I quit. I get on only like 5 minutes a day as it is.,1,long i quit i get onli like 5 minut day it
2782,ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,1,then most like call mittelschmertz googl if dont paracetamol dont worri will go
2783,ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,1,well thi right i gon na to get and check today steam text when want to come get
2784,ham,"Just arrived, see you in a couple days &lt;3",1,just arriv see in coupl day lt 3
2785,ham,"K, wat s tht incident?",1,k wat tht incid
2786,ham,Yeah get the unlimited,1,yeah get unlimit
2787,ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,1,cthen thk shd b enuff still got conclus n content pg n refer i b da content pg n cover pg
2788,ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",1,forgot take 3 year shower sorri where phone dead yet
2789,ham,Ü got wat to buy tell us then ü no need to come in again.,1,ü got wat buy tell us ü need come again
2790,ham,When you are big..| God will bring success.,1,when are big | god bring success
2791,spam,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,0,u bin award play 4 instant cash call 08715203028 to claim everi 9th player win min . optout 08718727870
2792,ham,"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """,1,r stayin an extra week back next how we in rugbi weekend hi and c u soon
2793,ham,Well there's still a bit left if you guys want to tonight,1,well still bit left you guy want tonight
2794,ham,Not from this campus. Are you in the library?,1,not thi campu are in librari
2795,ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",1,"the affidavit say lt # gt e twigg st divis g courtroom lt # gt , lt time gt am i doubl check text again tomorrow"
2796,ham,How will I creep on you now? ;_;,1,how i creep you ; ;
2797,ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,1,tell friend you plan do valentin day lt url & gt
2798,ham,If I get there before you after your ten billion calls and texts so help me god,1,if i get befor after ten billion call text help god
2799,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,1,puriti friendship two not smile read forward messag it smile by see name gud evng musthu
2800,ham,I've told him that i've returned it. That should i re order it.,1,i told that return that i order
2801,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",1,murder coz the man murder lt # gt th januari as public holiday are close includ post offic
2802,ham,Depends on where u going lor.,1,depend where u go lor
2803,ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,1,and smile me right as go the world wonder you smile think crazi and keep away you grin *
2804,spam,FreeMsg>FAV XMAS TONES!Reply REAL,0,freemsg fav xma tone repli real
2805,ham,Lil fever:) now fine:),1,lil fever ) fine )
2806,ham,I think it's all still in my car,1,i think all still my car
2807,ham,Can a not?,1,can not
2808,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,0,decemb had mobil ? you entitl updat the latest colour camera mobil free call the mobil updat co free 08002986906
2809,ham,Yes princess! I want to catch you with my big strong hands...,1,ye princess i want catch with big strong hand
2810,ham,Oh yeah I forgot. U can only take 2 out shopping at once.,1,oh yeah i forgot u onli take 2 shop onc
2811,ham,Mm so you asked me not to call radio,1,mm you ask not call radio
2812,ham,Thinkin about someone is all good. No drugs for that,1,thinkin someon all good no drug that
2813,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",1,say ? god i love you amp i need you clean my heart with your to ten special peopl amp u c miracl tomorrow it pl pl it
2814,ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",1,enjoy shower possess pour u ur love one bcoz thi world lie is golden gift be love truli
2815,ham,"Alright if you're sure, let me know when you're leaving",1,alright you sure let know you leav
2816,ham,Some are lasting as much as 2 hours. You might get lucky.,1,some last much 2 hour you might get lucki
2817,ham,Genius what's up. How your brother. Pls send his number to my skype.,1,geniu up how brother pl send number my skype
2818,spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",0,gr8 poli tone 4 all mob direct 2u rpli poli titl 8007 eg poli breathe1 titl crazyin sleepingwith finest ymca getzed.co.uk pobox365o4w45wq 300p
2819,ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,1,thk of em find wtc far weiyi goin e rest dunno yet r ur goin 4 dinner den might b abl join
2820,ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,1,do forget own and privat properti are and my good boy alway passion kiss *
2821,spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,0,interflora it too late order interflora flower christma call 0800 505060 place order midnight tomorrow
2822,ham,Oh god..taken the teeth?is it paining,1,oh god taken teeth it pain
2823,spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,0,romcapspam everyon around be respond well your presenc sinc warm outgo you are bring a real breath sunshin
2824,ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,1,then u ask darren go n pick u lor but oso sian tmr haf 2 meet lect
2825,ham,No need to buy lunch for me.. I eat maggi mee..,1,no need buy lunch me i eat maggi mee
2826,spam,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",0,congratul thank a good friend u won xma prize 2 claim easi call 08712103738 now onli 10p per minut bt-national-r
2827,ham,Ok lor...,1,ok lor
2828,ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",1,oh right ok i make sure i load work the day got realli nasti cough today is dri n shot that realli help
2829,ham,Wife.how she knew the time of murder exactly,1,knew time murder exactli
2830,spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,0,send logo 2 ur lover 2 name join a heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p
2831,ham,Howz that persons story,1,howz person stori
2832,ham,Thanx 4 sending me home...,1,thanx 4 send home
2833,ham,Its normally hot mail. Com you see!,1,it normal hot mail com see
2834,spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",0,you tkt the euro2004 cup final cash collect call 09058099801 b4190604 pobox 7876150ppm
2835,ham,U sick still can go shopping?,1,u sick still go shop
2836,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",1,"ya are well bbd pooja full pimpl even becom quit black ur rite it cold , wear sweatter"
2837,ham,Nice.nice.how is it working?,1,it work
2838,ham,1's reach home call me.,1,1 reach home call
2839,ham,Were trying to find a Chinese food place around here,1,were tri find chines food place around
2840,ham,"Easy mate, * guess the quick drink was bit ambitious.",1,easi mate * guess quick drink bit ambiti
2841,ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,1,babe i miiiiiiissssssssss i need i crave ! ! ! : ( geeee i sad without babe i love
2842,ham,Ok thanx...,1,ok thanx
